source,target,relationship,source_type,target_type
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19430,hasVariable,Equation,Variable
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19431,hasVariable,Equation,Variable
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19432,hasVariable,Equation,Variable
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19473,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19474,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19475,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19476,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19497,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19498,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19499,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19500,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19511,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19512,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19513,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19514,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19520,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19521,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19522,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19523,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19526,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19571,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19572,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19573,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19574,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19619,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19620,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19621,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19622,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19650,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19651,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19652,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19653,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19751,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19752,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19753,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19754,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19793,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19794,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19795,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19796,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19797,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19824,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19825,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19826,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19827,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19961,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19962,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19963,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19964,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19976,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19977,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19978,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19423,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19979,hasVariable,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19424,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:2663,relatesTo,Variable,null
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19425,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:2670,relatesTo,Variable,null
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19426,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:2674,relatesTo,Variable,null
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19427,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:2714,relatesTo,Variable,null
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19428,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:3172,relatesTo,Variable,null
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19429,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:3173,relatesTo,Variable,null
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19430,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:3181,relatesTo,Variable,null
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19431,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:3182,relatesTo,Variable,null
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19432,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:2715,relatesTo,Variable,null
